iter	MultiClass
0	1.031600295
1	0.9735480266
2	0.9246234893
3	0.8818275429
4	0.8451779705
5	0.8110429508
6	0.7807620138
7	0.7537220989
8	0.7290700436
9	0.7068176266
10	0.6859669498
11	0.6679551485
12	0.6510559213
13	0.6365230506
14	0.6226693162
15	0.6104886889
16	0.5990419622
17	0.5878433116
18	0.577900718
19	0.5688720297
20	0.5601528436
21	0.5519918893
22	0.544525938
23	0.5377616176
24	0.5316096648
25	0.525596569
26	0.5200772376
27	0.5147257884
28	0.5097389648
29	0.5051206932
30	0.5008490461
31	0.4966313695
32	0.4924489582
33	0.4886090153
34	0.4853227352
35	0.4821048863
36	0.4792097547
37	0.4762948423
38	0.473465114
39	0.4708789634
40	0.4685540983
41	0.4656017942
42	0.4632949466
43	0.4610069951
44	0.4590611652
45	0.4572525399
46	0.4555287623
47	0.4537007938
48	0.451959712
49	0.4498237238
50	0.4480165629
51	0.4464105435
52	0.4446418263
53	0.4428132964
54	0.4410432745
55	0.4395488939
56	0.4376909204
57	0.4364963768
58	0.4350638271
59	0.433638848
60	0.4317323307
61	0.4304595148
62	0.4292095129
63	0.4278368846
64	0.4264284752
65	0.4246420074
66	0.4232310388
67	0.4219885811
68	0.4208541046
69	0.4195513165
70	0.4186086789
71	0.4174687594
72	0.4161452923
73	0.4152137124
74	0.4140252394
75	0.4129350306
76	0.411952761
77	0.4107866521
78	0.4093274597
79	0.4080364905
80	0.406941209
81	0.4061158539
82	0.4047883452
83	0.4041312389
84	0.4033016402
85	0.4024329233
86	0.4015371823
87	0.4005488856
88	0.3994791983
89	0.3986959392
90	0.3979055206
91	0.3966868846
92	0.3955178304
93	0.3947464965
94	0.393926564
95	0.3930060756
96	0.3918178121
97	0.3908821608
98	0.3900438733
99	0.3889298947
100	0.387930077
101	0.3868234559
102	0.3857962991
103	0.3851139974
104	0.384289542
105	0.3832525988
106	0.3820005562
107	0.3814348193
108	0.3804183936
109	0.3796266838
110	0.3781408941
111	0.3770521773
112	0.37618677
113	0.3752179417
114	0.3744983052
115	0.3734729302
116	0.3725736425
117	0.3716220576
118	0.3707106889
119	0.3700322415
120	0.3692110596
121	0.3681770807
122	0.3673562691
123	0.3664934942
124	0.3656229533
125	0.3646211605
126	0.3641463792
127	0.3630690283
128	0.3622736333
129	0.3612605864
130	0.3604859288
131	0.3595949496
132	0.3586710924
133	0.3581470842
134	0.3570993735
135	0.3564322191
136	0.3555793998
137	0.3550023509
138	0.3539746996
139	0.3531407805
140	0.3524255215
141	0.3518219372
142	0.3509879988
143	0.3502110712
144	0.3492887546
145	0.3482370939
146	0.347173769
147	0.3463498778
148	0.3456132381
149	0.3450490635
150	0.3443072404
151	0.3435177546
152	0.3426088629
153	0.3418991659
154	0.341347147
155	0.340593096
156	0.3395353123
157	0.3387514629
158	0.3379198218
159	0.3370161992
160	0.336366264
161	0.3355993801
162	0.334317673
163	0.3334115308
164	0.3326367768
165	0.331776581
166	0.3309070357
167	0.3299716822
168	0.3292240319
169	0.3283574551
170	0.327557521
171	0.3267113857
172	0.3259663389
173	0.3249580742
174	0.3240139562
175	0.3231924948
176	0.3225304608
177	0.3215850576
178	0.3208566444
179	0.3196995413
180	0.318725979
181	0.3180414106
182	0.316931726
183	0.3161879979
184	0.3151621739
185	0.3145823039
186	0.3135889966
187	0.3127210615
188	0.3119200199
189	0.311030528
190	0.3102721549
191	0.3092891758
192	0.3085672462
193	0.3079306794
194	0.3070445447
195	0.3061123686
196	0.3051663164
197	0.3043012836
198	0.3035514256
199	0.3026657547
200	0.3018723695
201	0.3007366125
202	0.3001631923
203	0.2993436723
204	0.2984874651
205	0.2976186205
206	0.296834585
207	0.2960355845
208	0.2950515162
209	0.2943499197
210	0.2934941897
211	0.2925255744
212	0.2918984389
213	0.2910222159
214	0.2901942163
215	0.2893531749
216	0.2885966218
217	0.2879028325
218	0.2870912413
219	0.2864441771
220	0.2857105416
221	0.284880583
222	0.2843308765
223	0.2835116299
224	0.2826506256
225	0.2817706681
226	0.28109437
227	0.2804535718
228	0.2797970388
229	0.279104391
230	0.2780359413
231	0.2772289986
232	0.2765866811
233	0.2759436683
234	0.275200376
235	0.27452181
236	0.2737428521
237	0.2730452716
238	0.272435793
239	0.2719125589
240	0.2712789048
241	0.2706382884
242	0.2698643756
243	0.2691230506
244	0.2684043013
245	0.2678585942
246	0.2672124188
247	0.2666549435
248	0.2661626189
249	0.2656031552
250	0.2650134934
251	0.2642188256
252	0.2638307859
253	0.2630383654
254	0.2624421171
255	0.2619008908
256	0.2612840613
257	0.2607383784
258	0.2599633329
259	0.2591710186
260	0.2586213511
261	0.2580874822
262	0.2574487517
263	0.2567609772
264	0.2561656714
265	0.2556227697
266	0.2549908494
267	0.2544818746
268	0.2536782055
269	0.2530810884
270	0.2525305218
271	0.2519682516
272	0.2513707891
273	0.2508934633
274	0.250413885
