iter	Passed	Remaining
0	6	1870
1	12	1653
2	17	1613
3	23	1590
4	28	1531
5	33	1516
6	40	1533
7	45	1507
8	50	1497
9	56	1485
10	61	1471
11	66	1460
12	72	1453
13	77	1448
14	82	1431
15	88	1425
16	93	1423
17	99	1418
18	105	1416
19	110	1411
20	115	1402
21	121	1395
22	126	1386
23	132	1386
24	138	1381
25	144	1380
26	149	1371
27	154	1366
28	160	1360
29	165	1351
30	171	1346
31	176	1336
32	181	1333
33	187	1328
34	193	1323
35	198	1314
36	202	1299
37	206	1284
38	210	1271
39	213	1255
40	217	1241
41	221	1228
42	225	1215
43	228	1200
44	232	1190
45	236	1178
46	240	1167
47	244	1156
48	249	1150
49	254	1143
50	258	1133
51	261	1121
52	267	1120
53	273	1117
54	278	1113
55	283	1106
56	287	1099
57	291	1090
58	296	1083
59	300	1075
60	304	1067
61	308	1059
62	311	1049
63	315	1040
64	319	1032
65	323	1023
66	326	1014
67	330	1005
68	333	994
69	337	987
70	341	979
71	344	971
72	348	963
73	351	956
74	355	948
75	358	939
76	362	932
77	366	924
78	369	917
79	373	909
80	377	903
81	380	896
82	385	891
83	389	885
84	392	878
85	397	873
86	400	866
87	405	860
88	409	856
89	415	853
90	418	846
91	422	839
92	425	832
93	428	825
94	431	818
95	436	813
96	441	809
97	445	804
98	449	799
99	454	794
100	458	790
101	463	785
102	467	780
103	471	775
104	475	770
105	479	765
106	484	761
107	488	755
108	493	751
109	497	745
110	501	740
111	505	735
112	509	729
113	512	724
114	516	718
115	520	712
116	523	706
117	526	700
118	530	694
119	533	689
120	538	685
121	542	680
122	546	675
123	550	669
124	553	664
125	556	658
126	560	652
127	563	647
128	567	641
129	570	636
130	574	631
131	577	625
132	581	620
133	586	617
134	591	613
135	596	609
136	600	604
137	603	599
138	606	593
139	610	589
140	614	584
141	618	579
142	621	574
143	625	568
144	628	563
145	631	558
146	635	553
147	638	548
148	641	542
149	645	537
150	648	532
151	653	528
152	658	525
153	663	521
154	666	516
155	670	511
156	675	507
157	679	503
158	684	499
159	688	494
160	693	490
161	697	486
162	700	481
163	704	476
164	708	472
165	713	468
166	717	463
167	720	458
168	723	453
169	727	449
170	731	445
171	736	440
172	740	436
173	744	432
174	748	427
175	752	423
176	757	419
177	761	414
178	764	410
179	769	406
180	773	401
181	778	397
182	781	393
183	785	388
184	790	384
185	795	380
186	798	375
187	802	371
188	807	367
189	811	363
190	814	358
191	818	353
192	822	349
193	826	345
194	829	340
195	833	336
196	837	331
197	840	326
198	845	323
199	849	318
200	852	314
201	856	309
202	859	304
203	862	300
204	866	295
205	869	291
206	872	286
207	876	282
208	879	277
209	883	273
210	886	268
211	890	264
212	893	260
213	897	255
214	901	251
215	905	247
216	909	243
217	912	238
218	916	234
219	921	230
220	925	226
221	930	222
222	934	218
223	938	213
224	943	209
225	947	205
226	952	201
227	955	196
228	958	192
229	962	188
230	965	183
231	968	179
232	972	175
233	975	170
234	979	166
235	983	162
236	987	158
237	990	153
238	994	149
239	998	145
240	1002	141
241	1006	137
242	1009	132
243	1012	128
244	1016	124
245	1020	120
246	1024	116
247	1028	111
248	1032	107
249	1036	103
250	1040	99
251	1044	95
252	1048	91
253	1052	87
254	1056	82
255	1059	78
256	1063	74
257	1068	70
258	1073	66
259	1077	62
260	1081	58
261	1085	53
262	1089	49
263	1094	45
264	1098	41
265	1102	37
266	1105	33
267	1111	29
268	1116	24
269	1119	20
270	1123	16
271	1126	12
272	1131	8
273	1134	4
274	1139	0
